"(PDH-TSV 4.0) (Hora de verano romance)(-120)"	"\\GI-AN-B3_14\Disco físico(_Total)\% de tiempo inactivo"	"\\GI-AN-B3_14\Disco físico(_Total)\Longitud promedio de la cola de disco"	"\\GI-AN-B3_14\Disco físico(_Total)\Transferencias de disco/s"	"\\GI-AN-B3_14\Disco físico(_Total)\Promedio de segundos de disco/transferencia"	"\\GI-AN-B3_14\Disco físico(_Total)\Promedio de bytes de disco/transferencia"	"\\GI-AN-B3_14\Interfaz de red(Controladora Realtek PCIe GBE Family)\Ancho de banda actual"	"\\GI-AN-B3_14\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Ancho de banda actual"	"\\GI-AN-B3_14\Interfaz de red(Controladora Realtek PCIe GBE Family)\Total de bytes/s"	"\\GI-AN-B3_14\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Total de bytes/s"	"\\GI-AN-B3_14\Memoria\Bytes disponibles"	"\\GI-AN-B3_14\Memoria\Bytes de caché"	"\\GI-AN-B3_14\Memoria\Páginas/s"	"\\GI-AN-B3_14\Memoria\Errores de página/s"	"\\GI-AN-B3_14\Procesador(_Total)\% de tiempo de procesador"
"10/07/2022 10:28:52.942"	" "	" "	" "	" "	" "	"1000000000"	"100000"	" "	" "	"15761002496"	"49557504"	" "	" "	" "
"10/07/2022 10:28:53.927"	"100.04013184698218"	"0.00020314779540457341"	"2.0347259392322172"	"9.9929680302015403e-005"	"6144"	"1000000000"	"100000"	"0"	"0"	"15760728064"	"49561600"	"0"	"193.29896422706065"	"0.013194449311526579"
"10/07/2022 10:28:54.927"	"99.684513189212495"	"0.0097989691484455833"	"3.999166089878833"	"0.0024500415758798304"	"21504"	"1000000000"	"100000"	"0"	"0"	"15760285696"	"47763456"	"0"	"1533.6801954685325"	"2.3540223568480623"
"10/07/2022 10:28:55.929"	"77.186422175796821"	"1.7887409421474092"	"591.89394614246419"	"0.0030224282106414472"	"104472.17537942664"	"1000000000"	"100000"	"433731.49940073973"	"0"	"15638126592"	"73691136"	"3.9925392657164531"	"40176.922630904664"	"34.505314775191799"
"10/07/2022 10:28:56.937"	"57.235202348469102"	"2.4076888865867794"	"1098.5574746339403"	"0.0021879168489160766"	"121365.69882777277"	"1000000000"	"100000"	"80431.445185191536"	"0"	"15672713216"	"61542400"	"5.9435030187589195"	"32078.076376078345"	"51.160798966908573"
"10/07/2022 10:28:57.934"	"56.762774606524957"	"2.2530686482229667"	"1074.3733988983099"	"0.0021005608258551798"	"118309.32336448599"	"1000000000"	"100000"	"92181.237625474998"	"0"	"15652204544"	"107036672"	"89.363768693410833"	"30671.854407613715"	"57.709853356065842"
"10/07/2022 10:28:58.930"	"80.786132957117843"	"0.85198673246020251"	"524.0559143538909"	"0.0016256704174537121"	"111525.76245210729"	"1000000000"	"100000"	"163073.7517091186"	"0"	"15734878208"	"65421312"	"12.04726239894002"	"14248.89960234631"	"29.406885309794962"
"10/07/2022 10:28:59.930"	"98.319686264910814"	"0.037596056173707378"	"24.998131470684942"	"0.0015040074528614215"	"53739.519999999997"	"1000000000"	"100000"	"3081.7696477060394"	"0"	"15752261632"	"48070656"	"0"	"508.96195674314544"	"0.010488899714422573"
"10/07/2022 10:29:00.942"	"98.282616156652153"	"0.039627297852111519"	"48.423213609770976"	"0.00081836473338825456"	"54585.469387755104"	"1000000000"	"100000"	"6091.4426263393534"	"0"	"15767027712"	"48832512"	"0"	"608.74897109426377"	"1.1788083488490808"
"10/07/2022 10:29:01.936"	"85.396490464452825"	"0.50028945318362772"	"377.52320629591281"	"0.0013253338260845017"	"81821.695999999996"	"1000000000"	"100000"	"73142.856080595331"	"0"	"15743041536"	"63913984"	"2.0134571002448682"	"8560.2128616910577"	"11.920870918375414"
"10/07/2022 10:29:02.924"	"56.962843423188026"	"2.1922723462628277"	"1062.7311923409234"	"0.0020626665341909062"	"114075.55047619047"	"1000000000"	"100000"	"424011.52749501681"	"0"	"15669497856"	"87392256"	"11.133374395952529"	"42884.74604826406"	"47.80725697009094"
