Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
5.0	 Peticiones	 5.268308694339333	 0.9	 4.7414778249054	 5.268308694339333	 0.04907118965378312	 0.25814712602262735
10.0	 Peticiones	 10.535590296650613	 0.9	 9.482031266985551	 10.535590296650613	 0.04916371256189754	 0.5162439245358801
15.0	 Peticiones	 15.801775613822809	 0.9	 14.221598052440529	 15.801775613822809	 0.049260410132552064	 0.7742870050773177
20.0	 Peticiones	 21.066789158517018	 0.9	 18.960110242665316	 21.066789158517018	 0.04936156855750701	 1.032272668767334
25.0	 Peticiones	 26.33054842452878	 0.9	 23.6974935820759	 26.33054842452878	 0.04946750052158888	 1.2901968728019102
30.0	 Peticiones	 31.592963060822584	 0.9	 28.433666754740326	 31.592963060822584	 0.04957854830660169	 1.5480551899803068
35.0	 Peticiones	 36.85393392751471	 0.9	 33.16854053476324	 36.85393392751471	 0.049695087336915425	 1.8058427624482212
40.0	 Peticiones	 42.11335201389102	 0.9	 37.90201681250192	 42.11335201389102	 0.049817530240909444	 2.06355424868066
45.0	 Peticiones	 47.371097194665246	 0.9	 42.63398747519872	 47.371097194665246	 0.04994633151684167	 2.321183762538597
50.0	 Peticiones	 52.62703679594336	 0.9	 47.36433311634902	 52.62703679594336	 0.05008199290928222	 2.578724803001225
55.0	 Peticiones	 57.88102393654619	 0.9	 52.092921542891574	 57.88102393654619	 0.05022506962377514	 2.836170172890764
60.0	 Peticiones	 63.13289560318484	 0.9	 56.81960604286636	 63.13289560318484	 0.050376177533875015	 3.0935118845560576
65.0	 Peticiones	 68.38247040913303	 0.9	 61.54422336821973	 68.38247040913303	 0.05053600156742387	 3.350741050047519
70.0	 Peticiones	 73.62954597504817	 0.9	 66.26659137754336	 73.62954597504817	 0.05070530549953182	 3.607847752777361
75.0	 Peticiones	 78.87389585688143	 0.9	 70.98650627119329	 78.87389585688143	 0.05088494343032432	 3.8648208969871907
80.0	 Peticiones	 84.11526592863261	 0.9	 75.70373933576936	 84.11526592863261	 0.05107587328887239	 4.121648030502999
85.0	 Peticiones	 89.35337010606759	 0.9	 80.41803309546083	 89.35337010606759	 0.051279172784418826	 4.378315135197312
90.0	 Peticiones	 94.58788527013856	 0.9	 85.1290967431247	 94.58788527013856	 0.051496058326753115	 4.63480637823679
95.0	 Peticiones	 99.81844521403428	 0.9	 89.83660069263085	 99.81844521403428	 0.05172790756555655	 4.89110381548768
100.0	 Peticiones	 105.04463339329712	 0.9	 94.54017005396742	 105.04463339329712	 0.051976286361916854	 5.147187036271559
105.0	 Peticiones	 110.26597420129217	 0.9	 99.23937678116295	 110.26597420129217	 0.0522429812148663	 5.403032735863317
110.0	 Peticiones	 115.48192241851702	 0.9	 103.93373017666532	 115.48192241851702	 0.05253003843623216	 5.658614198507334
115.0	 Peticiones	 120.69185038845322	 0.9	 108.6226653496079	 120.69185038845322	 0.052839811717744836	 5.913900669034208
120.0	 Peticiones	 125.89503234768505	 0.9	 113.30552911291655	 125.89503234768505	 0.05317502019138681	 6.168856585036568
125.0	 Peticiones	 131.09062517412113	 0.9	 117.98156265670902	 131.09062517412113	 0.053538819682709786	 6.4234406335319365
130.0	 Peticiones	 136.27764460117803	 0.9	 122.64988014106022	 136.27764460117803	 0.05393489064512509	 6.677604585457724
135.0	 Peticiones	 141.45493565985294	 0.9	 127.30944209386764	 141.45493565985294	 0.054367547305845226	 6.931291847332794
140.0	 Peticiones	 146.6211357304957	 0.9	 131.95902215744613	 146.6211357304957	 0.05484187393919787	 7.18443565079429
145.0	 Peticiones	 151.77462807901387	 0.9	 136.5971652711125	 151.77462807901387	 0.05536389602953257	 7.43695677587168
150.0	 Peticiones	 156.91348307414492	 0.9	 141.22213476673042	 156.91348307414492	 0.0559407965542504	 7.688760670633101
155.0	 Peticiones	 162.03538337472762	 0.9	 145.83184503725485	 162.03538337472762	 0.056581190921384035	 7.939733785361653
160.0	 Peticiones	 167.13752816224823	 0.9	 150.4237753460234	 167.13752816224823	 0.05729547851563592	 8.189738879950164
165.0	 Peticiones	 172.21650987815778	 0.9	 154.99485889034202	 172.21650987815778	 0.058096294697509425	 8.438608984029733
170.0	 Peticiones	 177.26815479377268	 0.9	 159.54133931439543	 177.26815479377268	 0.058999094889726864	 8.686139584894862
175.0	 Peticiones	 182.2873159746383	 0.9	 164.05858437717447	 182.2873159746383	 0.060022912534121814	 8.932078482757277
180.0	 Peticiones	 187.26760371595162	 0.9	 168.54084334435646	 187.26760371595162	 0.061191345583856666	 9.17611258208163
185.0	 Peticiones	 192.20103435936858	 0.9	 172.9809309234317	 192.20103435936858	 0.06253384180074477	 9.41785068360906
