Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
5.0	 Peticiones	 5.226603334961013	 0.9	 4.7039430014649115	 5.226603334961013	 0.0566442447535187	 0.2955644185920453
10.0	 Peticiones	 10.451860801834876	 0.9	 9.406674721651388	 10.451860801834876	 0.05676743018281016	 0.5910527283437623
15.0	 Peticiones	 15.675667944870167	 0.9	 14.10810115038315	 15.675667944870167	 0.05689702363902914	 0.886459022282408
20.0	 Peticiones	 20.897909342140874	 0.9	 18.808118407926788	 20.897909342140874	 0.05703353252039293	 1.1817767732980666
25.0	 Peticiones	 26.118457146049455	 0.9	 23.506611431444508	 26.118457146049455	 0.057177518572584345	 1.4769987516090968
30.0	 Peticiones	 31.337169387539557	 0.9	 28.2034524487856	 31.337169387539557	 0.05732960526832873	 1.7721169288653622
35.0	 Peticiones	 36.55388799880506	 0.9	 32.898499198924554	 36.55388799880506	 0.057490486405827525	 2.067122366332426
40.0	 Peticiones	 41.76843649927486	 0.9	 37.59159284934738	 41.76843649927486	 0.05766093616394838	 2.362005084033994
45.0	 Peticiones	 46.98061727712653	 0.9	 42.28255554941388	 46.98061727712653	 0.05784182090577103	 2.6567539070215056
50.0	 Peticiones	 52.1902083828256	 0.9	 46.97118754454304	 52.1902083828256	 0.0580341130895668	 2.951356284048788
55.0	 Peticiones	 57.396959731268275	 0.9	 51.65726375814145	 57.396959731268275	 0.05823890773151044	 3.2457980728032214
60.0	 Peticiones	 62.600588583790945	 0.9	 56.34052972541185	 62.600588583790945	 0.058457441972609284	 3.540063284413378
65.0	 Peticiones	 67.80077414896837	 0.9	 61.020696734071535	 67.80077414896837	 0.05869111844040824	 3.834133778124162
70.0	 Peticiones	 72.99715109957177	 0.9	 65.69743598961459	 72.99715109957177	 0.05894153327321625	 4.127988894680784
75.0	 Peticiones	 78.18930174937739	 0.9	 70.37037157443966	 78.18930174937739	 0.059210509903258136	 4.421605013927292
80.0	 Peticiones	 83.37674656375981	 0.9	 75.03907190738383	 83.37674656375981	 0.059500139991939545	 4.714955018180618
85.0	 Peticiones	 88.55893258682929	 0.9	 79.70303932814636	 88.55893258682929	 0.059812833297873555	 5.008007637785197
90.0	 Peticiones	 93.73521924799007	 0.9	 84.36169732319107	 93.73521924799007	 0.06015137876716317	 5.300726648473839
95.0	 Peticiones	 98.90486085223154	 0.9	 89.01437476700839	 98.90486085223154	 0.06051901980767571	 5.593069881193694
100.0	 Peticiones	 104.06698484749246	 0.9	 93.66028636274322	 104.06698484749246	 0.06091954760241658	 5.8849879931257
105.0	 Peticiones	 109.22056468011905	 0.9	 98.29850821210715	 109.22056468011905	 0.06135741751125285	 6.176422932660733
110.0	 Peticiones	 114.36438566955799	 0.9	 102.92794710260219	 114.36438566955799	 0.061837895215313333	 6.467306009613505
115.0	 Peticiones	 119.4970018196781	 0.9	 107.54730163771029	 119.4970018196781	 0.0623672414269931	 6.757555452902798
120.0	 Peticiones	 124.61668078627139	 0.9	 112.15501270764425	 124.61668078627139	 0.06295294693180442	 7.047073298463648
125.0	 Peticiones	 129.72133326919328	 0.9	 116.74919994227396	 129.72133326919328	 0.06360403373749081	 7.33574139637288
130.0	 Peticiones	 134.80842179899994	 0.9	 121.32757961909995	 134.80842179899994	 0.0643314435787304	 7.623416252733448
135.0	 Peticiones	 139.8748421157005	 0.9	 125.88735790413044	 139.8748421157005	 0.06514854249724082	 7.909922321642863
140.0	 Peticiones	 144.91676792814903	 0.9	 130.42509113533413	 144.91676792814903	 0.06607178038509105	 8.195043226336828
145.0	 Peticiones	 149.9294465982056	 0.9	 134.93650193838505	 149.9294465982056	 0.06712155810582034	 8.47851020512853
150.0	 Peticiones	 154.90692900249377	 0.9	 139.4162361022444	 154.90692900249377	 0.06832337304669717	 8.759986835091023
155.0	 Peticiones	 159.84171133299614	 0.9	 143.85754019969653	 159.84171133299614	 0.06970933749007804	 9.039048775880932
160.0	 Peticiones	 164.72425999248176	 0.9	 148.2518339932336	 164.72425999248176	 0.07132019295337919	 9.315156902574845
165.0	 Peticiones	 169.54238376275515	 0.9	 152.58814538647965	 169.54238376275515	 0.07320797512726127	 9.587621801783806
170.0	 Peticiones	 174.280412342959	 0.9	 156.8523711086631	 174.280412342959	 0.0754395098943433	 9.855557317994332
175.0	 Peticiones	 178.9181426885294	 0.9	 161.02632841967647	 178.9181426885294	 0.07810092017694197	 10.11782096903634
180.0	 Peticiones	 183.4295361649114	 0.9	 165.08658254842027	 183.4295361649114	 0.08130325008384628	 10.372940270125742
185.0	 Peticiones	 187.78121321565126	 0.9	 169.00309189408614	 187.78121321565126	 0.08518907632971104	 10.61902760734508
190.0	 Peticiones	 191.93093680249376	 0.9	 172.73784312224439	 191.93093680249376	 0.08993941865411303	 10.853694476181023
195.0	 Peticiones	 195.82655403734614	 0.9	 176.24389863361154	 195.82655403734614	 0.09577915241674263	 11.073991630811927
200.0	 Peticiones	 199.40631477983567	 0.9	 179.4656833018521	 199.40631477983567	 0.10297726388865772	 11.276427100799708
205.0	 Peticiones	 202.60203399122608	 0.9	 182.34183059210346	 202.60203399122608	 0.11183584370568447	 11.457145022203836
210.0	 Peticiones	 205.3468399350231	 0.9	 184.81215594152079	 205.3468399350231	 0.12266000327275187	 11.612363798325557
215.0	 Peticiones	 207.58841748268614	 0.9	 186.82957573441752	 207.58841748268614	 0.13570325650722784	 11.739125008645903
220.0	 Peticiones	 209.30576148345978	 0.9	 188.3751853351138	 209.30576148345978	 0.15109385637903386	 11.83624081188965
225.0	 Peticiones	 210.5229267986478	 0.9	 189.47063411878304	 210.5229267986478	 0.1687672047006958	 11.905071510463534
230.0	 Peticiones	 211.31069826198478	 0.9	 190.1796284357863	 211.31069826198478	 0.18844465468020957	 11.949619986715241
235.0	 Peticiones	 211.77149164740482	 0.9	 190.59434248266433	 211.77149164740482	 0.20968666354426108	 11.975677852660743
240.0	 Peticiones	 212.01344304184298	 0.9	 190.8120987376587	 212.01344304184298	 0.23200369069348878	 11.989360204016222
245.0	 Peticiones	 212.12713361345672	 0.9	 190.91442025211106	 212.12713361345672	 0.2549677583747727	 11.995789405840979
250.0	 Peticiones	 212.17493445719438	 0.9	 190.95744101147494	 212.17493445719438	 0.2782730162710936	 11.998492543554343
255.0	 Peticiones	 212.1929487304954	 0.9	 190.97365385744587	 212.1929487304954	 0.3017364456529302	 11.999511250709517
260.0	 Peticiones	 212.19904995727074	 0.9	 190.97914496154368	 212.19904995727074	 0.32526467508857676	 11.999856275083662
265.0	 Peticiones	 212.2009124699615	 0.9	 190.98082122296537	 212.2009124699615	 0.34881649619443816	 11.999961600176324
270.0	 Peticiones	 212.20142638919944	 0.9	 190.9812837502795	 212.20142638919944	 0.372375990087795	 11.99999066230923
275.0	 Peticiones	 212.20155490366145	 0.9	 190.9813994132953	 212.20155490366145	 0.39593772357063445	 11.999997929802056
280.0	 Peticiones	 212.20158409985015	 0.9	 190.98142568986515	 212.20158409985015	 0.41950004608941904	 11.999999580846527
285.0	 Peticiones	 212.20159013918268	 0.9	 190.9814311252644	 212.20159013918268	 0.44306250868840785	 11.999999922370783
