Algorithm: MVA
D for Peticiones at Sistema [s] 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
0.009350999999999979	 Peticiones	 219.89839182395616	 0.9	 197.90855264156056	 219.89839182395616	 0.009510971595071045	 2.0562698619458093
0.015800275862068943	 Peticiones	 218.26291317988023	 0.9	 196.4366218618922	 218.26291317988023	 0.01632608163335131	 3.4486142387009107
0.02224955172413791	 Peticiones	 216.57290368552913	 0.9	 194.91561331697622	 216.57290368552913	 0.023476559608797888	 4.818650022597918
0.02869882758620687	 Peticiones	 214.7828405507769	 0.9	 193.30455649569922	 214.7828405507769	 0.031173083879193347	 6.164015709442509
0.03514810344827584	 Peticiones	 212.80338045449213	 0.9	 191.52304240904292	 212.80338045449213	 0.03983469422737788	 7.47963523035729
0.04159737931034481	 Peticiones	 210.43938590418045	 0.9	 189.39544731376242	 210.43938590418045	 0.050392433149687055	 8.753726957292223
0.04804665517241377	 Peticiones	 207.21419129110404	 0.9	 186.49277216199366	 207.21419129110404	 0.06518485898019796	 9.95594879579426
0.054495931034482734	 Peticiones	 201.907258171077	 0.9	 181.71653235396928	 201.907258171077	 0.09055379094167594	 11.003124016652512
0.0609452068965517	 Peticiones	 192.15752278544176	 0.9	 172.9417705068976	 192.15752278544176	 0.14081275143890642	 11.711079982887595
0.06739448275862067	 Peticiones	 177.53951053692543	 0.9	 159.7855594832329	 177.53951053692543	 0.22650980840911536	 11.965183481854774
0.07384375862068963	 Peticiones	 162.48339034509843	 0.9	 146.2350513105886	 162.48339034509843	 0.3308950445656017	 11.998384256514742
0.0802930344827586	 Peticiones	 149.45210682798776	 0.9	 134.506896145189	 149.45210682798776	 0.4382213489314705	 11.999963167060542
0.08674231034482756	 Peticiones	 138.34078688768065	 0.9	 124.50670819891259	 138.34078688768065	 0.545705236318922	 11.999999469558846
0.09319158620689652	 Peticiones	 128.7669894104095	 0.9	 115.89029046936857	 128.7669894104095	 0.6531931041934571	 11.99999999424271
0.0996408620689655	 Peticiones	 120.43251885598092	 0.9	 108.38926697038282	 120.43251885598092	 0.7606810344901095	 11.999999999946882
0.10609013793103446	 Peticiones	 113.11136203631231	 0.9	 101.80022583268108	 113.11136203631231	 0.8681689655173076	 11.999999999999549
0.11253941379310342	 Peticiones	 106.62930963956535	 0.9	 95.96637867560882	 106.62930963956535	 0.9756568965517242	 11.999999999999996
0.11898868965517238	 Peticiones	 100.849921406613	 0.9	 90.76492926595171	 100.849921406613	 1.0831448275862063	 12.0
0.12543796551724135	 Peticiones	 95.66481687197493	 0.9	 86.09833518477744	 95.66481687197493	 1.190632758620689	 12.0
0.13188724137931032	 Peticiones	 90.98681475555138	 0.9	 81.88813327999624	 90.98681475555138	 1.2981206896551725	 12.0
0.1383365172413793	 Peticiones	 86.74499141149806	 0.9	 78.07049227034825	 86.74499141149806	 1.4056086206896545	 12.0
0.14478579310344825	 Peticiones	 82.8810599630179	 0.9	 74.59295396671611	 82.8810599630179	 1.5130965517241377	 11.999999999999998
0.1512350689655172	 Peticiones	 79.34667588729765	 0.9	 71.41200829856788	 79.34667588729765	 1.62058448275862	 12.0
0.15768434482758617	 Peticiones	 76.10140380848163	 0.9	 68.49126342763347	 76.10140380848163	 1.728072413793103	 11.999999999999998
0.16413362068965515	 Peticiones	 73.11116363349879	 0.9	 65.80004727014891	 73.11116363349879	 1.8355603448275857	 12.0
0.1705828965517241	 Peticiones	 70.34702917218529	 0.9	 63.31232625496676	 70.34702917218529	 1.9430482758620686	 12.0
0.17703217241379307	 Peticiones	 67.78428935476954	 0.9	 61.00586041929259	 67.78428935476954	 2.0505362068965507	 11.999999999999998
0.18348144827586205	 Peticiones	 65.40170743561033	 0.9	 58.8615366920493	 65.40170743561033	 2.1580241379310343	 12.0
0.189930724137931	 Peticiones	 63.180931123525816	 0.9	 56.86283801117324	 63.180931123525816	 2.265512068965517	 12.0
0.19637999999999997	 Peticiones	 61.10601894286589	 0.9	 54.9954170485793	 61.10601894286589	 2.3729999999999993	 12.0
