"(PDH-TSV 4.0) (Hora estándar romance)(-60)"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\% de tiempo de disco"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\% de tiempo inactivo"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\Bytes de disco/s"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\Promedio de segundos de disco/transferencia"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\Transferencias de disco/s"	"\\GI-AN-B3_08\Interfaz de red(Controladora Realtek PCIe GBE Family)\Ancho de banda actual"	"\\GI-AN-B3_08\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Ancho de banda actual"	"\\GI-AN-B3_08\Interfaz de red(Controladora Realtek PCIe GBE Family)\Paquetes/s"	"\\GI-AN-B3_08\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Paquetes/s"	"\\GI-AN-B3_08\Interfaz de red(Controladora Realtek PCIe GBE Family)\Total de bytes/s"	"\\GI-AN-B3_08\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Total de bytes/s"	"\\GI-AN-B3_08\Memoria\Bytes confirmados"	"\\GI-AN-B3_08\Memoria\Bytes de caché"	"\\GI-AN-B3_08\Memoria\Bytes disponibles"	"\\GI-AN-B3_08\Memoria\Errores de caché/s"	"\\GI-AN-B3_08\Memoria\Errores de página/s"	"\\GI-AN-B3_08\Memoria\Páginas/s"	"\\GI-AN-B3_08\Procesador(_Total)\% de tiempo de DPC"	"\\GI-AN-B3_08\Procesador(_Total)\% de tiempo de interrupción"	"\\GI-AN-B3_08\Procesador(_Total)\% de tiempo de procesador"	"\\GI-AN-B3_08\Procesador(_Total)\% de tiempo inactivo"	"\\GI-AN-B3_08\Sistema\Cambios de contexto/s"	"\\GI-AN-B3_08\Sistema\Llamadas al sistema/s"
"01/09/2023 10:42:11.069"	"0.52994403790959677"	"99.63947807111569"	"8191.0067334537698"	"0.0026499828371064965"	"1.9997575032846118"	"1000000000"	"100000"	"0"	"0"	"0"	"0"	"1421160448"	"60674048"	"15912509440"	"0.99987875164230589"	"0.99987875164230589"	"0"	"0"	"0"	"0.40114763880934046"	"99.770474237920467"	"45.994422575546068"	"213.97405285145345"
"01/09/2023 10:42:12.069"	"2.4502908495238387"	"97.801609050994358"	"370735.33515229763"	"0.00081666500919097009"	"30.003830861988867"	"1000000000"	"100000"	"478.06103840102259"	"0"	"168827.55574962974"	"0"	"1439887360"	"60870656"	"15901446144"	"49.006257074581818"	"4410.5631367123633"	"1.000127695399629"	"0"	"0"	"1.9414804537298602"	"96.914943803829516"	"1241.1584699909395"	"1179.1505528761625"
"01/09/2023 10:42:13.069"	"73.854408882135544"	"64.241231727085804"	"16812423.354389962"	"0.00086249985871231433"	"856.22853343550389"	"1000000000"	"100000"	"429.11453369606443"	"0"	"134191.81674249234"	"0"	"1420578816"	"61632512"	"15910060032"	"1700.4538631312575"	"1701.4541301095701"	"64.017086612000284"	"0.39074914259162657"	"0.39074914259162657"	"11.689563400703928"	"87.219105914504752"	"5101.3615893937731"	"2577.6880031113242"
"01/09/2023 10:42:14.054"	"0.57835115940129089"	"99.567718021138035"	"112215.95423815599"	"0.0019000018178765704"	"3.0440525780749779"	"1000000000"	"100000"	"0"	"0"	"0"	"0"	"1420795904"	"61632512"	"15910064128"	"0"	"1.0146841926916594"	"0"	"0"	"0"	"0"	"100.06033115778597"	"44.64610447843301"	"208.01025950179016"
"01/09/2023 10:42:15.067"	"4.977070910817802"	"96.480124600575252"	"891922.78955333633"	"0.00093333704037575147"	"53.327654031011022"	"1000000000"	"100000"	"53.327654031011022"	"0"	"16784.385331686357"	"0"	"1422221312"	"60821504"	"15910920192"	"88.87942338501837"	"479.94888627909921"	"6.9128440410569842"	"0.38575262101046787"	"0"	"2.4058311520793407"	"98.703611279701704"	"336.75425971434737"	"370.3309307709099"
"01/09/2023 10:42:16.067"	"7.4085242219749823"	"96.640749162766781"	"1732237.9005059889"	"0.00085172126546481067"	"86.981416075662253"	"1000000000"	"100000"	"55.988037933759614"	"0"	"16902.388737645357"	"0"	"1419874304"	"61464576"	"15910699008"	"156.96646349286178"	"205.95599668490144"	"4.9989319583713936"	"0"	"0"	"1.5821048447149377"	"98.610166854762525"	"469.89960408691104"	"434.90708037831126"
"01/09/2023 10:42:17.067"	"0.65992991544297996"	"99.499433160198393"	"65529.104832754776"	"0.00066001751577542589"	"9.9989478809745442"	"1000000000"	"100000"	"0"	"0"	"0"	"0"	"1419988992"	"60456960"	"15911706624"	"0"	"0"	"0"	"0"	"0"	"0.010618872275769409"	"99.728158869528059"	"75.99200389540654"	"214.97737944095272"
"01/09/2023 10:42:18.075"	"1.2110237707091269"	"98.877112951095185"	"146368.88868792"	"0.00093844382033424093"	"12.904158209519856"	"1000000000"	"100000"	"0"	"0"	"0"	"0"	"1420132352"	"60719104"	"15911444480"	"63.528163493020827"	"63.528163493020827"	"0"	"0"	"0"	"0"	"99.717742123605618"	"65.513418602177737"	"191.57711803364094"
"01/09/2023 10:42:19.075"	"0.029996823336408674"	"100.11939735582003"	"8191.1302217370785"	"0.00015013521793666733"	"1.9997876517912789"	"1000000000"	"100000"	"0"	"0"	"0"	"0"	"1420247040"	"60719104"	"15911444480"	"0"	"0"	"0"	"0"	"0"	"0.010588878637751709"	"99.749066573849831"	"45.995115991199413"	"241.97430586674474"
"01/09/2023 10:42:20.075"	"1.1198815165355507"	"99.059519502836608"	"77817.03508840024"	"0.0015999758023824571"	"6.9993735302580395"	"1000000000"	"100000"	"0"	"0"	"0"	"0"	"1420361728"	"60719104"	"15911448576"	"0"	"0.99991050432257711"	"0"	"0"	"0"	"0"	"99.975502591825787"	"61.994451267999779"	"204.9816533861283"
"01/09/2023 10:42:21.064"	"37.297033718075475"	"75.109694630410047"	"6784891.3685704442"	"0.00088677931578909699"	"420.56181240185276"	"1000000000"	"100000"	"316.43232519658636"	"0"	"100617.39168535288"	"0"	"1420247040"	"62533632"	"15909961728"	"663.19362724907546"	"1059.4922581662061"	"52.570226550231595"	"0"	"0"	"5.6105293903962128"	"93.945940229506675"	"1728.751680786462"	"1285.9486186902805"
"01/09/2023 10:42:22.070"	"72.564066798680813"	"50.598136939441595"	"16427690.260241956"	"0.00074683007691021808"	"971.62048624180397"	"1000000000"	"100000"	"794.78158383787638"	"0"	"253745.94236399961"	"0"	"1419972608"	"67932160"	"15905026048"	"1563.7327662010218"	"2981.424416371834"	"105.30855985851862"	"1.1642340218971807"	"0.77615932621124561"	"14.234389486237664"	"86.326978612675191"	"4493.4963796233942"	"2928.7701364425748"
"01/09/2023 10:42:23.066"	"53.013297535625213"	"62.498618398709027"	"9698698.3752002176"	"0.00088971362287651229"	"595.85522844203877"	"1000000000"	"100000"	"491.35448011493582"	"0"	"166901.76248681202"	"0"	"1420214272"	"62701568"	"15910424576"	"916.39117763767172"	"1956.3745864698978"	"59.284078377875694"	"1.5700014670093707"	"0.39250539075703705"	"12.472423238232277"	"91.569840698859153"	"2696.9231587494637"	"1890.056803877698"
"01/09/2023 10:42:24.079"	"44.67701411057255"	"66.660158260869736"	"10132728.534149779"	"0.0007017053298673813"	"636.71503864617569"	"1000000000"	"100000"	"482.71884325268201"	"0"	"156535.15830728895"	"0"	"1419530240"	"61554688"	"15911792640"	"992.09087416962257"	"1572.5380721912525"	"53.306375328517035"	"1.5423737195706939"	"0"	"5.144016246402316"	"91.239090235426929"	"2596.2179095185147"	"1862.7616712020674"
"01/09/2023 10:42:25.075"	"54.631094994938088"	"59.411315806995169"	"12560287.315762665"	"0.0006921118123554336"	"789.34024785446127"	"1000000000"	"100000"	"593.51156040965213"	"0"	"192840.04039949755"	"0"	"1420517376"	"60153856"	"15913529344"	"1208.1123640825915"	"1995.4441125786443"	"82.348473694740235"	"2.7459958369900517"	"0"	"12.128293896009513"	"89.48446824914069"	"3239.7094651125853"	"2239.4767846252525"
"01/09/2023 10:42:26.071"	"53.262886430775168"	"62.037959520407114"	"10317592.339864438"	"0.0008367506393745812"	"636.51261157820659"	"1000000000"	"100000"	"501.98155487240268"	"0"	"167362.65832067854"	"0"	"1421094912"	"64090112"	"15909744640"	"964.80854846475791"	"1358.3620874847215"	"37.146635060557799"	"1.960957752039125"	"0.39218753435606774"	"7.8347446910556844"	"91.257818374260083"	"2535.0068521056337"	"1896.4863143079374"
"01/09/2023 10:42:27.066"	"54.040941537846486"	"60.298842388790419"	"11212360.083761994"	"0.00079351069354773344"	"681.08336948023873"	"1000000000"	"100000"	"492.2283938721489"	"0"	"158079.65096591192"	"0"	"1420357632"	"62468096"	"15911780352"	"1110.0252555688255"	"1556.0444532815482"	"101.45932200221844"	"3.5313746338048189"	"1.1771282261964973"	"9.7538877083476638"	"90.852706793237644"	"2617.8514172057553"	"1940.7862386959014"
"01/09/2023 10:42:28.074"	"63.891606173251049"	"53.342246533274995"	"11998745.161885727"	"0.00087591840139120581"	"729.36827240288051"	"1000000000"	"100000"	"518.99266185946465"	"0"	"169221.37789975293"	"0"	"1420738560"	"60809216"	"15913861120"	"1143.1731289906372"	"1923.1506284582074"	"102.21079191496149"	"1.5506467015486918"	"0"	"9.2871679594015433"	"89.837493218091595"	"3082.2011620181588"	"2050.1698650127228"
"01/09/2023 10:42:29.060"	"43.250985040169958"	"68.254192855371414"	"9809829.3884930722"	"0.00070362993106563344"	"614.72113261259642"	"1000000000"	"100000"	"507.19565397078912"	"0"	"158908.45595428001"	"0"	"1421500416"	"64475136"	"15910387712"	"907.88022060771254"	"1407.9751354229106"	"46.662000165312598"	"0.39621716173525307"	"0"	"7.2839973891173688"	"91.604632845897569"	"2578.5827047874918"	"1902.9980936984009"
"01/09/2023 10:42:30.070"	"48.022688320581381"	"62.737243756951564"	"11174502.653419483"	"0.00068739408260001583"	"698.6122392746513"	"1000000000"	"100000"	"487.84112459263895"	"0"	"160884.65939760406"	"0"	"1420562432"	"63913984"	"15911247872"	"1105.311432393464"	"1735.6457049401395"	"72.23610972669907"	"0.77308314960754587"	"0.38653662707161546"	"11.481984317668159"	"90.758457653350007"	"2645.0290588968032"	"1918.7098186310891"
"01/09/2023 10:42:31.062"	"55.634946044485375"	"60.030096701378945"	"12510755.254478455"	"0.00072238213134936989"	"770.14820983053096"	"1000000000"	"100000"	"611.8847688051469"	"0"	"198274.8582303492"	"0"	"1421737984"	"62877696"	"15912546304"	"1137.0774616346059"	"1590.6987894143688"	"70.563317654629799"	"4.3315217785763425"	"0.39377928924365507"	"9.8256919539710825"	"89.459460985175028"	"3188.4539105942008"	"2294.3158711705346"
"01/09/2023 10:42:32.069"	"51.111181326056943"	"61.275788343272389"	"9744336.0492874142"	"0.00088842802772066184"	"575.24920518308272"	"1000000000"	"100000"	"461.98770364444471"	"0"	"149934.38351051707"	"0"	"1421930496"	"59985920"	"15915753472"	"951.79402170188825"	"1488.295871095437"	"53.650184939354872"	"1.9406351180316552"	"0"	"4.5205077653424404"	"91.847289646786365"	"2554.3449162792845"	"1768.469059112068"
"01/09/2023 10:42:33.057"	"76.388451919382518"	"53.495183915997181"	"11972208.545364965"	"0.0010911853563385151"	"700.12063482584097"	"1000000000"	"100000"	"579.72416727631048"	"0"	"188095.70477313784"	"0"	"1420898304"	"64839680"	"15911219200"	"1198.9060003881814"	"2192.4297914271638"	"91.056151928216309"	"1.5806774748249923"	"0"	"5.5545259373746214"	"89.84966315636558"	"3357.9485361083325"	"2199.5119365771361"
"01/09/2023 10:42:34.072"	"47.7679381126243"	"64.988447374439133"	"10959448.844799373"	"0.00070641386603545356"	"676.18111245851719"	"1000000000"	"100000"	"532.27084654168993"	"0"	"174015.11072252411"	"0"	"1421213696"	"63533056"	"15912660992"	"1020.1857892049056"	"1651.0253110320937"	"31.541976091359402"	"3.4654229522675482"	"0"	"10.284172902981602"	"90.873958095117928"	"2870.3198243137058"	"2045.3000121740863"
