"(PDH-TSV 4.0) (Hora de verano romance)(-120)"	"\\WS-AN-B3_01\Disco físico(_Total)\% de tiempo inactivo"	"\\WS-AN-B3_01\Disco físico(_Total)\Longitud promedio de la cola de disco"	"\\WS-AN-B3_01\Disco físico(_Total)\Transferencias de disco/s"	"\\WS-AN-B3_01\Disco físico(_Total)\Promedio de segundos de disco/transferencia"	"\\WS-AN-B3_01\Disco físico(_Total)\Promedio de bytes de disco/transferencia"	"\\WS-AN-B3_01\Interfaz de red(Realtek Gaming 2.5GbE Family Controller)\Ancho de banda actual"	"\\WS-AN-B3_01\Interfaz de red(Realtek Gaming 2.5GbE Family Controller)\Total de bytes/s"	"\\WS-AN-B3_01\Memoria\Bytes disponibles"	"\\WS-AN-B3_01\Memoria\Bytes de caché"	"\\WS-AN-B3_01\Memoria\Páginas/s"	"\\WS-AN-B3_01\Memoria\Errores de página/s"	"\\WS-AN-B3_01\Procesador(_Total)\% de tiempo de procesador"
"10/06/2023 10:56:08.085"	" "	" "	" "	" "	" "	"2500000000"	" "	"15754747904"	"48795648"	" "	" "	" "
"10/06/2023 10:56:09.085"	"98.87492157445989"	"0"	"2.0187652080011933"	"0"	"4096"	"2500000000"	"0"	"15756484608"	"47087616"	"0"	"48.450364992028639"	"1.4473292822844486"
"10/06/2023 10:56:10.086"	"99.632212575912575"	"0.00099972117776352186"	"4.9986314884823857"	"0.00019997985189165057"	"8192"	"2500000000"	"0"	"15756234752"	"47104000"	"0"	"2086.4287832925479"	"0.28821961554922337"
"10/06/2023 10:56:11.098"	"94.256060750654044"	"0.10639741895865674"	"177.66506228359344"	"0.00059502726744494481"	"113307.58011049723"	"2500000000"	"488500.39528550243"	"15649050624"	"51490816"	"0.98157492974361016"	"24724.890905311797"	"14.330072652543969"
"10/06/2023 10:56:12.082"	"28.177403469538337"	"1.969574092553527"	"2779.4177361239208"	"0.0007133922808163452"	"139951.18763796909"	"2500000000"	"115929.73874499509"	"15580692480"	"83980288"	"13.293756648127657"	"30653.357637251895"	"86.641594804468738"
"10/06/2023 10:56:13.093"	"59.594107255545467"	"1.2271935082482202"	"1595.2448418162182"	"0.00076918782950261358"	"140333.07377557346"	"2500000000"	"321149.58835333516"	"15732998144"	"47972352"	"10.878917086161438"	"9691.1371388450862"	"30.324142487779504"
"10/06/2023 10:56:14.093"	"79.295519803131114"	"0.28108411874729078"	"518.9995899270599"	"0.00054161866419244334"	"113946.14258188824"	"2500000000"	"136099.89246449491"	"15691603968"	"58183680"	"1.9999984197574563"	"10988.991317357344"	"19.535796227513146"
"10/06/2023 10:56:15.093"	"36.096235162672535"	"2.0047909003090978"	"2296.8657045124778"	"0.00087287761922430972"	"138930.54244666957"	"2500000000"	"563371.06024603755"	"15589433344"	"89133056"	"11.999298412777421"	"33367.049061330814"	"80.861376158466669"
"10/06/2023 10:56:16.094"	"13.438598354191658"	"2.7965083241817879"	"3513.7223731016356"	"0.00079590210766106292"	"144933.59134889016"	"2500000000"	"624513.65580861608"	"15637196800"	"80453632"	"19.998419881056549"	"32251.451742179896"	"70.185399662815158"
"10/06/2023 10:56:17.095"	"14.436480086642842"	"2.6327107875848665"	"3421.4284049275507"	"0.0007694776271224066"	"144179.91712868397"	"2500000000"	"755501.70986799989"	"15570206720"	"159977472"	"18.969109919353215"	"36721.201681248982"	"69.45081073914379"
"10/06/2023 10:56:18.095"	"2.6697172769403719"	"3.0991717977066227"	"4064.5552080716343"	"0.00076248463723745899"	"146947.40073800739"	"2500000000"	"1049395.1627117493"	"15614644224"	"141160448"	"24.997264502285574"	"46933.863938911301"	"59.639694156388835"
"10/06/2023 10:56:19.098"	"13.226729484654301"	"2.6336752532679299"	"3422.3847338478035"	"0.00076954245622509808"	"145057.613523754"	"2500000000"	"875921.01917657722"	"15651147776"	"88588288"	"18.952290860713571"	"40899.04367741989"	"72.335208017752151"
"10/06/2023 10:56:20.085"	"3.3927379810737888"	"3.2716121713614226"	"4063.1071658339388"	"0.00080518443169260616"	"148387.09471585244"	"2500000000"	"898137.07850153791"	"15571861504"	"177905664"	"24.305725817550979"	"45048.637325679279"	"54.505034468698746"
"10/06/2023 10:56:21.087"	"28.341867007261566"	"2.0479220140435497"	"2280.1526862670707"	"0.00089816103314540251"	"138084.20315236427"	"2500000000"	"531934.46415457781"	"15601475584"	"104513536"	"10.981470905839657"	"33438.578908281757"	"73.872492346248364"
"10/06/2023 10:56:22.087"	"13.648565535762192"	"2.7382122138963196"	"3500.6943597332152"	"0.00078220510485536225"	"145983.03113396172"	"2500000000"	"771944.60269818874"	"15618260992"	"111988736"	"20.998166682204374"	"36842.783312976302"	"72.398740892332214"
"10/06/2023 10:56:23.089"	"2.8147957241855535"	"3.1328077517477935"	"3970.6023412728305"	"0.00078898944759137101"	"147777.25490196078"	"2500000000"	"843929.66836371564"	"15679344640"	"76386304"	"23.955368574798374"	"45991.313242541029"	"60.22978115761768"
"10/06/2023 10:56:24.096"	"3.4550812629155998"	"3.207566389684319"	"4052.5860880826885"	"0.00079145031510809323"	"148243.69230769231"	"2500000000"	"953402.15024001559"	"15578324992"	"176283648"	"23.827061762367595"	"51215.27646396905"	"53.202095844351369"
"10/06/2023 10:56:25.098"	"5.8973490069103764"	"3.0825872338659108"	"3880.0450652852455"	"0.00079434302425643896"	"148112.81871946517"	"2500000000"	"897646.28080439963"	"15610077184"	"139292672"	"22.947039470702144"	"47968.291770082105"	"57.123229248615871"
