Algorithm: MVA
D for Peticiones at Sistema [s] 	Class 	Throughput (Delay 1) 	Residence time (Delay 1) 	Utilization (Delay 1)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
0.004013437	 Peticiones	 149.2745131250218	 1.0	 149.2745131250218	 149.2745131250218	 0.004860085354092651	 0.5991038541329481
0.008239045578947368	 Peticiones	 147.87061005723345	 1.0	 147.87061005723345	 147.87061005723345	 0.014400359489572419	 1.2183126960482995
0.012464654157894738	 Peticiones	 142.80645505975664	 1.0	 142.80645505975664	 142.80645505975664	 0.05037268754576449	 1.7800330738348036
0.01669026273684211	 Peticiones	 119.68104296045422	 1.0	 119.68104296045422	 119.68104296045422	 0.2533313237382462	 1.9975080516292687
0.020915871315789474	 Peticiones	 95.62115531991857	 1.0	 95.62115531991857	 95.62115531991857	 0.5686905214452469	 1.999999779738535
0.02514147989473684	 Peticiones	 79.54981203853963	 1.0	 79.54981203853963	 79.54981203853963	 0.8856109921080549	 1.9999999999970388
0.029367088473684213	 Peticiones	 68.10344858640637	 1.0	 68.10344858640637	 68.10344858640637	 1.202531635526316	 2.0
0.03359269705263158	 Peticiones	 59.53674981399936	 1.0	 59.53674981399936	 59.53674981399936	 1.5194522789473686	 1.9999999999999998
0.037818305631578945	 Peticiones	 52.8844422456083	 1.0	 52.8844422456083	 52.8844422456083	 1.8363729223684206	 1.9999999999999998
0.04204391421052631	 Peticiones	 47.56931026891095	 1.0	 47.56931026891095	 47.56931026891095	 2.153293565789473	 2.0000000000000004
0.04626952278947368	 Peticiones	 43.22499735084798	 1.0	 43.22499735084798	 43.22499735084798	 2.470214209210526	 2.0
0.05049513136842105	 Peticiones	 39.60777892442067	 1.0	 39.60777892442067	 39.60777892442067	 2.7871348526315782	 2.0000000000000004
0.054720739947368424	 Peticiones	 36.54921336816064	 1.0	 36.54921336816064	 36.54921336816064	 3.104055496052631	 2.0
0.0589463485263158	 Peticiones	 33.92915846360062	 1.0	 33.92915846360062	 33.92915846360062	 3.420976139473685	 1.9999999999999998
0.06317195710526316	 Peticiones	 31.659617520910558	 1.0	 31.659617520910558	 31.659617520910558	 3.7378967828947376	 1.9999999999999998
0.06739756568421053	 Peticiones	 29.674662277432184	 1.0	 29.674662277432184	 29.674662277432184	 4.05481742631579	 2.0
0.0716231742631579	 Peticiones	 27.923922956159405	 1.0	 27.923922956159405	 27.923922956159405	 4.371738069736842	 2.0000000000000004
0.07584878284210526	 Peticiones	 26.36825437480531	 1.0	 26.36825437480531	 26.36825437480531	 4.688658713157895	 2.0
0.08007439142105263	 Peticiones	 24.97677427835153	 1.0	 24.97677427835153	 24.97677427835153	 5.005579356578948	 1.9999999999999998
0.0843	 Peticiones	 23.72479240806643	 1.0	 23.72479240806643	 23.72479240806643	 5.3225	 2.0
