"(PDH-TSV 4.0) (Hora de verano romance)(-120)"	"\\GI-AN-B3_14\Disco físico(_Total)\% de tiempo inactivo"	"\\GI-AN-B3_14\Disco físico(_Total)\Longitud promedio de la cola de disco"	"\\GI-AN-B3_14\Disco físico(_Total)\Transferencias de disco/s"	"\\GI-AN-B3_14\Disco físico(_Total)\Promedio de segundos de disco/transferencia"	"\\GI-AN-B3_14\Disco físico(_Total)\Promedio de bytes de disco/transferencia"	"\\GI-AN-B3_14\Interfaz de red(Controladora Realtek PCIe GBE Family)\Ancho de banda actual"	"\\GI-AN-B3_14\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Ancho de banda actual"	"\\GI-AN-B3_14\Interfaz de red(Controladora Realtek PCIe GBE Family)\Total de bytes/s"	"\\GI-AN-B3_14\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Total de bytes/s"	"\\GI-AN-B3_14\Memoria\Bytes disponibles"	"\\GI-AN-B3_14\Memoria\Bytes de caché"	"\\GI-AN-B3_14\Memoria\Páginas/s"	"\\GI-AN-B3_14\Memoria\Errores de página/s"	"\\GI-AN-B3_14\Procesador(_Total)\% de tiempo de procesador"
"10/07/2022 10:58:27.897"	" "	" "	" "	" "	" "	"1000000000"	"100000"	" "	" "	"15831162880"	"73269248"	" "	" "	" "
"10/07/2022 10:58:28.889"	"55.716012476678777"	"2.5867464911859979"	"1112.2299586112576"	"0.0023295824891012831"	"113387.09255898367"	"1000000000"	"100000"	"92773.301084888211"	"0"	"15831384064"	"91389952"	"6.0556985042355223"	"31235.292884846825"	"55.129692004664044"
"10/07/2022 10:58:29.886"	"57.899504828635216"	"2.1535467394742871"	"1034.7322285483799"	"0.0020812015573507311"	"119343.62790697675"	"1000000000"	"100000"	"176700.58097480156"	"0"	"15903203328"	"67862528"	"8.0211800662665116"	"30564.706642508543"	"53.782919721276222"
"10/07/2022 10:58:30.897"	"99.925224339353818"	"0.0055426035687438724"	"10.886241073146385"	"0.00050908288321960629"	"6702.545454545455"	"1000000000"	"100000"	"0"	"0"	"15923838976"	"47681536"	"0"	"38.59667289570082"	"0"
"10/07/2022 10:58:31.893"	"100.19603528474505"	"0.00020077354029605262"	"2.0077445085096848"	"0.00010009008107296567"	"6144"	"1000000000"	"100000"	"0"	"0"	"15923937280"	"47681536"	"0"	"0"	"0"
"10/07/2022 10:58:32.881"	"84.961475028305316"	"0.45191413146008114"	"361.13817774810946"	"0.0012515402697448892"	"82918.184873949576"	"1000000000"	"100000"	"61917.494631950372"	"0"	"15910969344"	"60669952"	"2.0231830686168597"	"7863.1009961794252"	"6.757309771763131"
"10/07/2022 10:58:33.885"	"71.116739068828096"	"0.93696328634466941"	"698.43162381278853"	"0.0013413696380292137"	"89404.987161198282"	"1000000000"	"100000"	"135346.28460089079"	"0"	"15914463232"	"57192448"	"2.9890083758036599"	"17438.871200563819"	"30.715486011216854"
"10/07/2022 10:58:34.890"	"59.198813853846268"	"1.9906129941371524"	"929.74051764137835"	"0.002141220460298637"	"117841.13062098502"	"1000000000"	"100000"	"271269.21621358383"	"0"	"15859408896"	"102334464"	"6.9680766846784241"	"36012.015745944482"	"61.118895903053897"
"10/07/2022 10:58:35.877"	"55.931560467753307"	"2.452948530407995"	"1069.3435008665513"	"0.0022939394240752962"	"110991.51515151515"	"1000000000"	"100000"	"251573.18493776588"	"0"	"15855710208"	"90361856"	"6.0758153458326767"	"36451.854167323145"	"64.400399697755901"
"10/07/2022 10:58:36.881"	"57.956097247471497"	"1.9729883634439662"	"1068.453092272709"	"0.0018436685649467655"	"116308.85661080075"	"1000000000"	"100000"	"305301.02018175292"	"0"	"15868854272"	"78770176"	"6.9638469701200778"	"36069.742799377666"	"63.413127382350318"
