Algorithm: MVA
D for Peticiones at Sistema [s] 	Class 	Throughput (Delay 1) 	Residence time (Delay 1) 	Utilization (Delay 1)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
0.004013437	 Peticiones	 198.93991020538994	 1.0	 198.93991020538994	 198.93991020538994	 0.0053286934407261385	 0.7984327963949895
0.008239045578947368	 Peticiones	 195.39882510512433	 1.0	 195.39882510512433	 195.39882510512433	 0.02354760778321075	 1.6098998261138846
0.012464654157894738	 Peticiones	 160.39057723267055	 1.0	 160.39057723267055	 160.39057723267055	 0.2469560459893478	 1.999213075390344
0.01669026273684211	 Peticiones	 119.83034847990193	 1.0	 119.83034847990193	 119.83034847990193	 0.6690262737034784	 1.9999999999769116
0.020915871315789474	 Peticiones	 95.62116585074762	 1.0	 95.62116585074762	 95.62116585074762	 1.0915871315789472	 2.0
0.02514147989473684	 Peticiones	 79.54981203865741	 1.0	 79.54981203865741	 79.54981203865741	 1.5141479894736842	 2.0
0.029367088473684213	 Peticiones	 68.10344858640637	 1.0	 68.10344858640637	 68.10344858640637	 1.936708847368421	 2.0
0.03359269705263158	 Peticiones	 59.53674981399936	 1.0	 59.53674981399936	 59.53674981399936	 2.359269705263158	 1.9999999999999998
0.037818305631578945	 Peticiones	 52.884442245608305	 1.0	 52.884442245608305	 52.884442245608305	 2.7818305631578943	 2.0
0.04204391421052631	 Peticiones	 47.56931026891094	 1.0	 47.56931026891094	 47.56931026891094	 3.2043914210526316	 2.0
0.04626952278947368	 Peticiones	 43.22499735084797	 1.0	 43.22499735084797	 43.22499735084797	 3.626952278947368	 1.9999999999999998
0.05049513136842105	 Peticiones	 39.607778924420664	 1.0	 39.607778924420664	 39.607778924420664	 4.049513136842105	 2.0
0.054720739947368424	 Peticiones	 36.54921336816064	 1.0	 36.54921336816064	 36.54921336816064	 4.472073994736842	 2.0
0.0589463485263158	 Peticiones	 33.92915846360063	 1.0	 33.92915846360063	 33.92915846360063	 4.8946348526315795	 2.0
0.06317195710526316	 Peticiones	 31.65961752091056	 1.0	 31.65961752091056	 31.65961752091056	 5.317195710526316	 2.0
0.06739756568421053	 Peticiones	 29.674662277432184	 1.0	 29.674662277432184	 29.674662277432184	 5.739756568421053	 2.0
0.0716231742631579	 Peticiones	 27.9239229561594	 1.0	 27.9239229561594	 27.9239229561594	 6.16231742631579	 2.0
0.07584878284210526	 Peticiones	 26.36825437480531	 1.0	 26.36825437480531	 26.36825437480531	 6.584878284210526	 2.0
0.08007439142105263	 Peticiones	 24.97677427835153	 1.0	 24.97677427835153	 24.97677427835153	 7.007439142105263	 1.9999999999999998
0.0843	 Peticiones	 23.72479240806643	 1.0	 23.72479240806643	 23.72479240806643	 7.43	 2.0
