Algorithm: MVA
D for Peticiones at Sistema [s] 	Class 	Throughput (Delay 1) 	Residence time (Delay 1) 	Utilization (Delay 1)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
0.004	 Peticiones	 124.42103861537147	 1.0	 124.42103861537147	 124.42103861537147	 0.004653243463256322	 0.4976841544614859
0.008226315789473684	 Peticiones	 123.47660960663104	 1.0	 123.47660960663104	 123.47660960663104	 0.01233748155397326	 1.015757583237707
0.012452631578947368	 Peticiones	 121.3902735680174	 1.0	 121.3902735680174	 121.3902735680174	 0.029736537581488996	 1.5116283540101536
0.016678947368421054	 Peticiones	 113.91838122478192	 1.0	 113.91838122478192	 113.91838122478192	 0.09727682798926002	 1.9000386847438628
0.020905263157894736	 Peticiones	 95.5929118041795	 1.0	 95.5929118041795	 95.5929118041795	 0.3076283339507478	 1.9983949772957943
0.02513157894736842	 Peticiones	 79.5810706860338	 1.0	 79.5810706860338	 79.5810706860338	 0.570725285830278	 1.9999979606621652
0.02935789473684211	 Peticiones	 68.12477587427982	 1.0	 68.12477587427982	 68.12477587427982	 0.8348684218892696	 1.999999999088068
0.03358421052631579	 Peticiones	 59.55179438958479	 1.0	 59.55179438958479	 59.55179438958479	 1.099013157895065	 1.9999999999996874
0.037810526315789475	 Peticiones	 52.89532293986637	 1.0	 52.89532293986637	 52.89532293986637	 1.3631578947368423	 2.0
0.042036842105263164	 Peticiones	 47.57731313384249	 1.0	 47.57731313384249	 47.57731313384249	 1.6273026315789476	 2.0
0.04626315789473684	 Peticiones	 43.230944254835045	 1.0	 43.230944254835045	 43.230944254835045	 1.8914473684210524	 2.0
0.05048947368421053	 Peticiones	 39.61221724173876	 1.0	 39.61221724173876	 39.61221724173876	 2.155592105263158	 1.9999999999999998
0.05471578947368422	 Peticiones	 36.55252020007695	 1.0	 36.55252020007695	 36.55252020007695	 2.4197368421052636	 2.0
0.0589421052631579	 Peticiones	 33.931601035806764	 1.0	 33.931601035806764	 33.931601035806764	 2.6838815789473687	 2.0
0.06316842105263158	 Peticiones	 31.661389768371933	 1.0	 31.661389768371933	 31.661389768371933	 2.948026315789474	 1.9999999999999998
0.06739473684210526	 Peticiones	 29.67590784849669	 1.0	 29.67590784849669	 29.67590784849669	 3.212171052631578	 2.0000000000000004
0.07162105263157895	 Peticiones	 27.924750146972368	 1.0	 27.924750146972368	 27.924750146972368	 3.476315789473684	 1.9999999999999998
0.07584736842105264	 Peticiones	 26.368746096731666	 1.0	 26.368746096731666	 26.368746096731666	 3.740460526315789	 2.0000000000000004
0.08007368421052632	 Peticiones	 24.976994873143155	 1.0	 24.976994873143155	 24.976994873143155	 4.004605263157895	 2.0
0.0843	 Peticiones	 23.72479240806643	 1.0	 23.72479240806643	 23.72479240806643	 4.26875	 2.0
