
HORA INICIO DE MEDICION:  Fri Oct  7 10:41:15 2022

HORA FIN DE MEDICION: Fri Oct  7 10:46:15 2022
 

Parametros del experimento: 
Nº Usuarios: 300; Tpo. Reflex (seg): 2.000000; IP servidor: 192.168.203.244; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;0.760543;61430.230469;62757.121094
0;1;3.099060;63524.644531;65058.066406
0;2;3.089311;68157.734375;69841.398438
0;3;3.355066;72946.054688;74485.046875
0;4;0.945325;77849.609375;79259.765625
0;5;0.247496;80213.882813;81680.632813
0;6;0.054259;81936.031250;83595.546875
0;7;0.314863;83651.039063;85285.828125
0;8;0.045873;85607.609375;87102.390625
0;9;3.658962;87161.742188;89021.078125
0;10;0.207895;92681.781250;94566.976563
0;11;1.520264;94778.054688;96239.937500
0;12;0.158662;97771.500000;99249.789063
0;13;7.236784;99419.296875;100952.968750
0;14;0.015810;108190.242188;109817.281250
0;15;0.697621;109847.984375;111251.406250
0;16;0.127194;111950.656250;113550.179688
0;17;7.967436;113686.867188;115151.984375
0;18;2.791909;123130.289063;124427.773438
0;19;2.913358;127219.968750;128848.914063
0;20;1.327059;131762.468750;133275.062500
0;21;0.747640;134609.312500;135945.281250
0;22;1.784309;136700.906250;138039.250000
0;23;4.124451;139838.062500;141527.859375
0;24;8.713845;145666.171875;147371.593750
0;25;0.750747;156097.921875;157567.093750
0;26;0.357028;158317.671875;159856.093750
0;27;0.266235;160214.796875;161767.687500
0;28;0.479879;162047.687500;163627.562500
0;29;0.153712;164111.078125;165621.750000
0;30;0.638213;165786.828125;167456.000000
0;31;2.716200;168109.312500;169717.296875
0;32;2.045189;172433.468750;174195.328125
0;33;0.007399;176255.828125;177991.359375
0;34;0.773710;178004.609375;179433.937500
0;35;5.145463;180214.828125;181511.953125
0;36;1.961923;186660.078125;188187.546875
0;37;7.301530;190157.656250;191523.562500
0;38;0.253307;198834.546875;200646.359375
0;39;6.190710;200905.578125;203198.890625
0;40;1.817653;209400.484375;211310.406250
0;41;3.630266;213137.171875;214813.046875
0;42;0.625405;218443.687500;220625.468750
0;43;0.124269;221251.968750;223063.078125
0;44;0.722255;223191.781250;224808.671875
0;45;1.803466;225535.937500;227037.921875
0;46;1.560212;228852.609375;230584.015625
0;47;0.209182;232149.390625;233745.312500
0;48;0.302045;233965.937500;235583.671875
0;49;2.000382;235891.125000;237662.796875
0;50;1.568084;239662.984375;241212.890625
0;51;1.214165;242794.875000;244226.984375
0;52;3.971578;245444.828125;247188.140625
